stat	ploidy	miss_pct	estimator	mean	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
tajimaD	2	0	new	0.02336974988466608	-0.27790136226255774	0.3267278332035599	0.15356474511606646	120000	-0.033308	4.433032346539862e-4	0.022500875544744267	0.02423862422458789
tajimaD	2	0	new_multi	-0.0331241935175724	-0.3247522437581025	0.2606302417120713	0.14861772015761784	120000	-0.033308	4.2902240369674567e-4	-0.03396507742881802	-0.03228330960632678
tajimaD	2	0.1	new	0.023758296083251373	-0.27777097311493776	0.3282469019559091	0.15376799348572018	20000	-0.033356	0.001087303909232016	0.021627180421156623	0.025889411745346123
tajimaD	2	0.1	new_multi	-0.03263116442122687	-0.3267480831600177	0.26274015321906025	0.14884367292096612	20000	-0.033356	0.0010524837045912763	-0.03469403248222577	-0.030568296360227967
tajimaD	2	0.25	new	0.0222342110898232	-0.27125742161652827	0.316903703384348	0.14924335578767164	20000	-0.034715	0.0010553098892449918	0.020165803706903018	0.024302618472743384
tajimaD	2	0.25	new_multi	-0.03407621438703573	-0.31745089932383097	0.2524276510525914	0.14440690924993949	20000	-0.034715	0.0010211110478082258	-0.036077592040739855	-0.032074836733331606
tajimaD	2	0.5	new	0.0203577269669667	-0.2653579770078802	0.30525360552379294	0.14576737169478562	20000	-0.03681	0.0010307309700112292	0.018337494265744693	0.02237795966818871
tajimaD	2	0.5	new_multi	-0.0357717283023551	-0.31159593011463976	0.24198439606651026	0.1410034154817239	20000	-0.03681	9.970447125759118e-4	-0.03772593593900389	-0.03381752066570631
tajimaD	2	0.75	new	0.016592549313944223	-0.24813545149156452	0.2772061946753919	0.13469952838578683	20000	-0.040125	9.524694994421971e-4	0.014725709095037516	0.01845938953285093
tajimaD	2	0.75	new_multi	-0.03944080147843908	-0.2964718124435913	0.21517176678933342	0.13016653589875923	20000	-0.040125	9.204164021757483e-4	-0.041244817626703546	-0.03763678533017461
tajimaD	4	0	new	0.03249553851803384	-0.26960958240973326	0.33256442840794936	0.1537414583082829	120000	-0.025342	4.4381336169946377e-4	0.031625664329102895	0.03336541270696479
tajimaD	4	0	new_multi	-0.02469400117515028	-0.3143319069230375	0.26392386375949134	0.1476741705187986	120000	-0.025342	4.262986105069154e-4	-0.025529546451743833	-0.023858455898556726
tajimaD	4	0.1	new	0.03168184405995978	-0.2694911762685028	0.3333942986506367	0.15485336387319198	20000	-0.025353	0.00109497863684282	0.029535685931747855	0.03382800218817171
tajimaD	4	0.1	new_multi	-0.0254516079461742	-0.31718486050830125	0.265696863450445	0.14862787372091643	20000	-0.025353	0.0010509577738139788	-0.0275114851828496	-0.0233917307094988
tajimaD	4	0.25	new	0.029758997989041913	-0.27053488740446924	0.3255366202926137	0.15291472625979696	20000	-0.02677	0.0010812703988158706	0.027639708007362807	0.03187828797072102
tajimaD	4	0.25	new_multi	-0.02718208033225079	-0.31614822575390145	0.2581324236787534	0.14667802768976426	20000	-0.02677	0.001037170280305005	-0.0292149340816486	-0.02514922658285298
tajimaD	4	0.5	new	0.027988268489681892	-0.2742304021024828	0.3278522863843442	0.15276318367865563	20000	-0.028516	0.001080198830948235	0.025871078781023352	0.030105458198340432
tajimaD	4	0.5	new_multi	-0.02892343952333561	-0.31856604153116946	0.25630962715540706	0.1462777335687043	20000	-0.028516	0.0010343397734302988	-0.030950745479258995	-0.026896133567412224
tajimaD	4	0.75	new	0.02408034704051011	-0.2678099623466165	0.3100492883510107	0.14762766749937858	20000	-0.032786	0.0010438852477956347	0.022034331954830667	0.026126362126189556
tajimaD	4	0.75	new_multi	-0.032575745690521477	-0.3100359177738305	0.24081393866967457	0.14132393188606102	20000	-0.032786	9.993111058057948e-4	-0.03453439545790084	-0.03061709592314212
tajimaD	6	0	new	0.03835600521105853	-0.2630288916652547	0.3419268890136258	0.1545053084693651	100000	-0.019632	4.885886853500975e-4	0.03739837138777234	0.03931363903434472
tajimaD	6	0	new_multi	-0.01918791085639354	-0.30817066140357396	0.27160293988973633	0.14785994937072178	100000	-0.019632	4.675742147286611e-4	-0.020104356317261714	-0.018271465395525363
