stat	ploidy	miss_pct	estimator	mean	n_windows	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
dxy	2	0	new	0.06837440675550535	102440	0.06213334065234503	0.07483782453889966	0.0032532472819079374	100000	0.07855381727658725	1.028767120258097e-5	0.0683542429199483	0.06839457059106241
dxy	2	0	new_multi	0.078565494595	102440	0.0712565	0.08604731874999999	0.0037763470557011687	100000	0.07855381727658725	1.194185793128644e-5	0.07854208855345467	0.07858890063654532
dxy	2	0	old	0.06837440687148055	102440	0.06213308347997552	0.07483782453889998	0.003253254758112206	100000	0.07855381727658725	1.0287694844414713e-5	0.0683542429895855	0.0683945707533756
dxy	2	0.1	new	0.068526335111196	21200	0.06222176705286967	0.07506295365086552	0.003297694000984288	20000	0.07855381727658725	2.3318217903741874e-5	0.06848063140410467	0.06857203881828734
dxy	2	0.1	new_multi	0.07858411295261691	21200	0.07120399525589756	0.08613635271804491	0.003828429761597709	20000	0.07855381727658725	2.7071086457221372e-5	0.07853105362316076	0.07863717228207306
dxy	2	0.1	old	0.06852633467299765	21200	0.06222176705287011	0.07506213573690294	0.0032977106651078617	20000	0.07855381727658725	2.3318335736889688e-5	0.06848063073495335	0.06857203861104195
dxy	2	0.25	new	0.06881669430925864	22610	0.062398722836457456	0.0754425750252416	0.0033403859369054646	20000	0.07855381727658725	2.3620095477660328e-5	0.06877039892212243	0.06886298969639486
dxy	2	0.25	new_multi	0.07859040445568759	22610	0.07114346492150235	0.08616735795257403	0.0038623230977235866	20000	0.07855381727658725	2.7310748535337803e-5	0.07853687538855833	0.07864393352281684
dxy	2	0.25	old	0.06881669433969653	22610	0.062397733161972294	0.07544257502524113	0.0033404157403041632	20000	0.07855381727658725	2.362030621951355e-5	0.06877039853950628	0.06886299013988678
dxy	2	0.5	new	0.06914096052707604	25090	0.06246781539273683	0.07596103060976449	0.0034317291580801598	20000	0.07855381727658725	2.4265989588740825e-5	0.0690933991874821	0.06918852186666997
dxy	2	0.5	new_multi	0.07859062450697682	25090	0.07095500609963928	0.0863364183521566	0.003940037180038568	20000	0.07855381727658725	2.786027008132393e-5	0.07853601837761742	0.07864523063633622
dxy	2	0.5	old	0.06914096101213796	25090	0.06245930016336779	0.07596103060976465	0.003431841115183688	20000	0.07855381727658725	2.426678124501189e-5	0.06909339812089774	0.06918852390337818
dxy	2	0.75	new	0.06971464809358717	27650	0.06283619837273606	0.07680464968069592	0.003560613057081974	20000	0.07855381727658725	2.5177336378440272e-5	0.06966530051428543	0.0697639956728889
dxy	2	0.75	new_multi	0.07857728862318993	27650	0.0707696928204878	0.08656363776365039	0.004042550496540817	20000	0.07855381727658725	2.8585148693930563e-5	0.07852126173174982	0.07863331551463003
